group	tag	smolt.year	date.M	length.M	date.R	length.R	time.MR	growth	growth.rate
fall	3D9.1BF0DE518E	2001	8/17/2000	73	5/12/2001	115	268	42	0.156716418
fall	3D9.1BF0DE5236	2001	8/9/2000	71	6/8/2001	127	303	56	0.184818482
fall	3D9.1BF0DE53A9	2001	8/17/2000	91	5/3/2001	118	259	27	0.104247104
fall	3D9.1BF0DE53F1	2001	8/25/2000	71	4/28/2001	116	246	45	0.182926829
fall	3D9.1BF0DE5534	2001	8/24/2000	83	4/24/2001	130	243	47	0.193415638
fall	3D9.1BF0DE553A	2001	8/25/2000	74	5/1/2001	115	249	41	0.164658635
fall	3D9.1BF0DE554A	2001	8/17/2000	78	5/11/2001	114	267	36	0.134831461
fall	3D9.1BF0DE5566	2001	8/9/2000	65	5/29/2001	113	293	48	0.163822526
fall	3D9.1BF0DE55B4	2001	8/10/2000	75	5/22/2001	115	285	40	0.140350877
fall	3D9.1BF0DE5621	2001	8/24/2000	73	5/4/2001	113	253	40	0.158102767
fall	3D9.1BF0DE5661	2001	8/21/2000	59	5/17/2001	122	269	63	0.234200743
fall	3D9.1BF0DE573C	2001	8/21/2000	61	6/12/2001	124	295	63	0.213559322
fall	3D9.1BF0DE582C	2001	8/17/2000	76	5/15/2001	114	271	38	0.140221402
fall	3D9.1BF0DE5837	2001	8/10/2000	76	5/28/2001	117	291	41	0.140893471
fall	3D9.1BF0DE59D9	2001	8/25/2000	72	5/15/2001	122	263	50	0.190114068
fall	3D9.1BF0DE5A3F	2001	8/24/2000	69	5/1/2001	114	250	45	0.18
fall	3D9.1BF0DE5BBB	2001	8/17/2000	89	5/14/2001	136	270	47	0.174074074
fall	3D9.1BF0DE5BFF	2001	8/10/2000	69	5/24/2001	113	287	44	0.153310105
fall	3D9.1BF0DE5C54	2001	8/17/2000	90	5/6/2001	129	262	39	0.148854962
fall	3D9.1BF0DE5C57	2001	8/25/2000	75	4/22/2001	128	240	53	0.220833333
fall	3D9.1BF0DE5C98	2001	8/25/2000	72	4/29/2001	116	247	44	0.178137652
fall	3D9.1BF0DE5CAE	2001	8/17/2000	81	5/10/2001	130	266	49	0.184210526
fall	3D9.1BF0DE5D96	2001	8/25/2000	70	4/30/2001	125	248	55	0.221774194
fall	3D9.1BF0DE5DE3	2001	8/25/2000	71	5/9/2001	127	257	56	0.217898833
fall	3D9.1BF0DE5E1C	2001	8/9/2000	81	6/10/2001	132	305	51	0.167213115
fall	3D9.1BF0DE5E4D	2001	8/25/2000	80	5/6/2001	122	254	42	0.165354331
fall	3D9.1BF0DE5EF6	2001	8/16/2000	75	5/30/2001	108	287	33	0.114982578
fall	3D9.1BF0DE5F31	2001	8/10/2000	71	5/29/2001	118	292	47	0.160958904
fall	3D9.1BF0DE5F6C	2001	8/17/2000	84	5/12/2001	128	268	44	0.164179104
fall	3D9.1BF0DE5FE2	2001	8/25/2000	84	5/9/2001	124	257	40	0.155642023
fall	3D9.1BF0DE5FFC	2001	8/25/2000	74	5/2/2001	118	250	44	0.176
fall	3D9.1BF0DE60B7	2001	8/25/2000	70	5/17/2001	124	265	54	0.203773585
fall	3D9.1BF0DE60D8	2001	8/25/2000	65	5/1/2001	113	249	48	0.192771084
fall	3D9.1BF0DE610A	2001	8/25/2000	75	4/29/2001	136	247	61	0.246963563
fall	3D9.1BF0DE6117	2001	8/24/2000	76	5/1/2001	110	250	34	0.136
fall	3D9.1BF0DE6189	2001	8/10/2000	72	5/21/2001	116	284	44	0.154929577
fall	3D9.1BF0DE61F0	2001	8/25/2000	83	5/15/2001	125	263	42	0.159695817
fall	3D9.1BF0DE6274	2001	8/25/2000	69	4/29/2001	115	247	46	0.186234818
fall	3D9.1BF0DE6280	2001	8/25/2000	71	5/6/2001	123	254	52	0.204724409
fall	3D9.1BF0DE62E5	2001	8/17/2000	77	5/12/2001	126	268	49	0.182835821
fall	3D9.1BF0DE62F6	2001	8/24/2000	78	4/18/2001	111	237	33	0.139240506
fall	3D9.1BF0DE66B8	2001	8/21/2000	61	5/12/2001	116	264	55	0.208333333
fall	3D9.1BF0DE675B	2001	8/9/2000	71	5/15/2001	119	279	48	0.172043011
fall	3D9.1BF0DE6966	2001	8/25/2000	71	5/1/2001	110	249	39	0.156626506
fall	3D9.1BF0DE69D3	2001	8/25/2000	66	5/16/2001	117	264	51	0.193181818
fall	3D9.1BF0DE6A5A	2001	8/17/2000	84	5/12/2001	118	268	34	0.126865672
fall	3D9.1BF0DE6ABF	2001	8/17/2000	81	5/5/2001	121	261	40	0.153256705
fall	3D9.1BF0DE6B1F	2001	8/10/2000	71	6/2/2001	116	296	45	0.152027027
fall	3D9.1BF0DE6B46	2001	8/25/2000	71	5/11/2001	111	259	40	0.154440154
fall	3D9.1BF0DE6B7C	2001	8/25/2000	70	5/10/2001	107	258	37	0.143410853
fall	3D9.1BF0DE6CCB	2001	8/14/2000	70	5/18/2001	105	277	35	0.126353791
fall	3D9.1BF0DE6CF7	2001	8/25/2000	71	5/1/2001	129	249	58	0.232931727
fall	3D9.1BF0DE6D56	2001	8/25/2000	81	4/27/2001	123	245	42	0.171428571
fall	3D9.1BF0DE6E5E	2001	8/17/2000	78	5/17/2001	115	273	37	0.135531136
fall	3D9.1BF0DE6EDC	2001	8/24/2000	85	5/4/2001	125	253	40	0.158102767
fall	3D9.1BF0DE6EE1	2001	8/10/2000	78	5/14/2001	118	277	40	0.144404332
fall	3D9.1BF0DE6F01	2001	8/9/2000	73	5/18/2001	117	282	44	0.156028369
fall	3D9.1BF0DE6F82	2001	8/16/2000	72	5/25/2001	115	282	43	0.15248227
fall	3D9.1BF0DE6FF1	2001	8/17/2000	81	5/12/2001	118	268	37	0.138059701
fall	3D9.1BF0DE7038	2001	8/24/2000	75	4/22/2001	112	241	37	0.153526971
fall	3D9.1BF0DE716A	2001	8/10/2000	73	5/6/2001	NA	269	NA	NA
fall	3D9.1BF0DE71BF	2001	8/25/2000	83	4/28/2001	121	246	38	0.154471545
fall	3D9.1BF0DE733D	2001	8/17/2000	89	5/15/2001	124	271	35	0.129151292
fall	3D9.1BF0DE74CC	2001	8/25/2000	69	5/16/2001	120	264	51	0.193181818
fall	3D9.1BF0DE765F	2001	8/8/2000	74	5/28/2001	117	293	43	0.146757679
fall	3D9.1BF0DE7660	2001	8/25/2000	73	5/17/2001	117	265	44	0.166037736
fall	3D9.1BF0DE76C6	2001	8/25/2000	68	4/29/2001	115	247	47	0.190283401
fall	3D9.1BF0DE7821	2001	8/24/2000	73	5/1/2001	123	250	50	0.2
fall	3D9.1BF0DE78D6	2001	8/25/2000	75	5/16/2001	109	264	34	0.128787879
fall	3D9.1BF0DE7906	2001	8/16/2000	77	5/19/2001	121	276	44	0.15942029
fall	3D9.1BF0DE7A32	2001	8/16/2000	74	5/30/2001	115	287	41	0.142857143
fall	3D9.1BF0DE7B6C	2001	8/17/2000	85	5/12/2001	127	268	42	0.156716418
fall	3D9.1BF0DE7BF9	2001	8/10/2000	66	5/22/2001	107	285	41	0.143859649
fall	3D9.1BF0DE7C0F	2001	8/17/2000	88	5/8/2001	119	264	31	0.117424242
fall	3D9.1BF0DE7C47	2001	8/17/2000	79	5/15/2001	119	271	40	0.147601476
fall	3D9.1BF0DE8343	2001	8/17/2000	84	5/12/2001	124	268	40	0.149253731
fall	3D9.1BF0DE83C8	2001	8/17/2000	84	5/6/2001	NA	262	NA	NA
fall	3D9.1BF0DE83D0	2001	8/25/2000	72	4/23/2001	98	241	26	0.107883817
fall	3D9.1BF0DE845E	2001	8/10/2000	71	5/16/2001	106	279	35	0.125448029
fall	3D9.1BF0DE848E	2001	8/21/2000	65	5/23/2001	123	275	58	0.210909091
fall	3D9.1BF0DE8867	2001	8/22/2000	63	5/18/2001	122	269	59	0.219330855
fall	3D9.1BF0DE88D9	2001	8/9/2000	75	5/18/2001	108	282	33	0.117021277
fall	3D9.1BF0DE893D	2001	8/9/2000	74	6/12/2001	127	307	53	0.172638436
fall	3D9.1BF0DE8993	2001	8/22/2000	62	5/11/2001	104	262	42	0.160305344
fall	3D9.1BF0DE89A7	2001	8/16/2000	83	5/15/2001	117	272	34	0.125
fall	3D9.1BF0DE8BB4	2001	8/10/2000	72	5/18/2001	100	281	28	0.099644128
fall	3D9.1BF0DE8BFE	2001	8/10/2000	74	5/18/2001	114	281	40	0.142348754
fall	3D9.1BF0DE8D47	2001	8/11/2000	81	5/16/2001	111	278	30	0.107913669
fall	3D9.1BF0DE8E7B	2001	8/16/2000	75	5/16/2001	122	273	47	0.172161172
fall	3D9.1BF0DE8EE1	2001	8/22/2000	65	6/12/2001	117	294	52	0.176870748
fall	3D9.1BF0DE92FD	2001	8/9/2000	72	5/18/2001	125	282	53	0.187943262
fall	3D9.1BF0DE939E	2001	8/16/2000	77	5/31/2001	117	288	40	0.138888889
fall	3D9.1BF0DE98A8	2001	8/15/2000	67	5/28/2001	115	286	48	0.167832168
fall	3D9.1BF0DE993A	2001	8/15/2000	93	5/18/2001	135	276	42	0.152173913
fall	3D9.1BF0DE9945	2001	8/16/2000	69	5/20/2001	128	277	59	0.21299639
fall	3D9.1BF0DE996F	2001	8/16/2000	79	5/15/2001	116	272	37	0.136029412
fall	3D9.1BF0DE9A55	2001	8/16/2000	80	5/18/2001	116	275	36	0.130909091
fall	3D9.1BF0DE9A69	2001	8/16/2000	70	6/8/2001	116	296	46	0.155405405
fall	3D9.1BF0DE9B43	2001	8/14/2000	75	5/18/2001	109	277	34	0.122743682
fall	3D9.1BF0DE9D7B	2001	8/10/2000	74	5/12/2001	110	275	36	0.130909091
fall	3D9.1BF0DE9DCF	2001	8/14/2000	62	5/30/2001	121	289	59	0.204152249
fall	3D9.1BF0DEA03E	2001	8/16/2000	81	6/15/2001	135	303	54	0.178217822
fall	3D9.1BF0DEA12A	2001	8/9/2000	76	5/19/2001	123	283	47	0.166077739
fall	3D9.1BF0DEA2A3	2001	8/16/2000	76	5/18/2001	119	275	43	0.156363636
fall	3D9.1BF0DEA3F8	2001	8/14/2000	71	6/2/2001	116	292	45	0.154109589
fall	3D9.1BF0DEA619	2001	8/16/2000	79	6/4/2001	121	292	42	0.143835616
fall	3D9.1BF0DEA66F	2001	8/21/2000	85	5/14/2001	124	266	39	0.146616541
fall	3D9.1BF0DEA713	2001	8/10/2000	69	5/25/2001	114	288	45	0.15625
fall	3D9.1BF0DEA808	2001	8/11/2000	76	6/2/2001	123	295	47	0.159322034
fall	3D9.1BF0DEA88E	2001	8/22/2000	58	6/10/2001	128	292	70	0.239726027
fall	3D9.1BF0DEAA43	2001	8/14/2000	62	6/13/2001	126	303	64	0.211221122
fall	3D9.1BF0DEAAAE	2001	8/9/2000	74	5/23/2001	111	287	37	0.128919861
fall	3D9.1BF0DEAB17	2001	8/10/2000	75	5/20/2001	123	283	48	0.169611307
fall	3D9.1BF0DEACC8	2001	8/16/2000	66	5/18/2001	106	275	40	0.145454545
fall	3D9.1BF0DEACE8	2001	8/25/2000	76	4/28/2001	111	246	35	0.142276423
fall	3D9.1BF0DEAD58	2001	8/16/2000	66	5/30/2001	115	287	49	0.170731707
fall	3D9.1BF0DEAD5C	2001	8/10/2000	75	5/18/2001	107	281	32	0.113879004
fall	3D9.1BF0DEAE6A	2001	8/8/2000	67	6/16/2001	137	312	70	0.224358974
