tag	age	year	LGR.smolt.date	LGR.smolt.day	route	rear.type	length	LGR.adult.date	BON.adult.date	LGR.flow	LGR.temp	CUI	CUMCUI	NPGO	ONI	PNI	PDO	SST.buoy29	press.buoy29
510005030A	2	1998	4/7/1998	7	I	W	105	7/4/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
5105721C62	3	1998	4/7/1998	7	I	W	110	5/19/2001	4/23/2001	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
51057C462B	3	1998	4/7/1998	7	I	W	105	6/17/2001	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510A4E3755	3	1998	4/7/1998	7	I	W	103	5/25/2001	5/11/2001	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510A511712	2	1998	4/7/1998	7	I	W	107	5/9/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510C0A3A6C	2	1998	4/7/1998	7	I	W	116	4/30/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510C0A7D18	2	1998	4/7/1998	7	I	W	116	4/29/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510C0C4A03	2	1998	4/7/1998	7	I	W	109	5/12/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510C172C1F	2	1998	4/7/1998	7	I	W	108	6/5/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
510C1D6F41	2	1998	4/7/1998	7	I	W	113	6/9/2000	NA	68.7	8.78	29.20879121	-10064	0.52	0.9	0.33	-0.07	NA	NA
5105651D52	2	1998	4/8/1998	8	I	W	114	5/9/2000	NA	63	9.13	29.20879121	-10067	0.52	0.9	0.33	-0.07	NA	NA
5.12E+84	2	1998	4/8/1998	8	I	W	108	6/10/2000	NA	63	9.13	29.20879121	-10067	0.52	0.9	0.33	-0.07	NA	NA
51075E3840	2	1998	4/9/1998	9	I	W	109	6/7/2000	NA	61.3	9.48	29.20879121	-10073	0.52	0.9	0.33	-0.07	NA	NA
5109435369	2	1998	4/9/1998	9	I	W	116	6/26/2000	NA	61.3	9.48	29.20879121	-10073	0.52	0.9	0.33	-0.07	NA	NA
510A4A3812	2	1998	4/9/1998	9	I	W	103	6/24/2000	NA	61.3	9.48	29.20879121	-10073	0.52	0.9	0.33	-0.07	NA	NA
51160A3166	2	1998	4/9/1998	9	T	W	123	6/28/2000	NA	61.3	9.48	29.20879121	-10073	0.52	0.9	0.33	-0.07	NA	NA
5116180033	2	1998	4/9/1998	9	T	W	105	5/4/2000	NA	61.3	9.48	29.20879121	-10073	0.52	0.9	0.33	-0.07	NA	NA
510001382A	2	1998	4/10/1998	10	I	W	115	6/25/2000	NA	60.2	9.62	29.20879121	-10097	0.52	0.9	0.33	-0.07	NA	NA
510C131032	2	1998	4/10/1998	10	I	W	107	5/17/2000	NA	60.2	9.62	29.20879121	-10097	0.52	0.9	0.33	-0.07	NA	NA
511125204B	2	1998	4/10/1998	10	I	W	123	5/8/2000	NA	60.2	9.62	29.20879121	-10097	0.52	0.9	0.33	-0.07	NA	NA
5116442648	2	1998	4/11/1998	11	I	W	120	6/14/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
510564632A	2	1998	4/11/1998	11	T	W	115	4/30/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
51056A4236	2	1998	4/11/1998	11	T	W	103	5/2/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
5105780549	2	1998	4/11/1998	11	T	W	116	6/13/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
510612626B	1	1998	4/11/1998	11	T	W	116	5/25/1999	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
5109403360	2	1998	4/11/1998	11	T	W	105	4/27/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
510A541A75	2	1998	4/11/1998	11	T	W	106	6/10/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
510C356573	3	1998	4/11/1998	11	T	W	116	5/29/2001	5/12/2001	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
5111225509	3	1998	4/11/1998	11	T	W	118	4/25/2001	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
5116346B54	2	1998	4/11/1998	11	T	W	113	5/26/2000	NA	60.7	9.4	29.20879121	-10103	0.52	0.9	0.33	-0.07	NA	NA
51056E4C52	3	1998	4/12/1998	12	I	W	119	5/1/2001	NA	58.4	9.44	29.20879121	-10159	0.52	0.9	0.33	-0.07	NA	NA
51093D3F69	3	1998	4/12/1998	12	I	W	122	5/30/2001	5/15/2001	58.4	9.44	29.20879121	-10159	0.52	0.9	0.33	-0.07	NA	NA
